Inbox Name,File Name,Total Conversations,Multi-Turn Conversations,Single-Turn Conversations,Not Responded Conversations,Empty Messages Conversations,Remaining Conversations
VGPT1,Feb 01.json,91,68,11,0,12,0
VGPT1,Feb 02.json,48,28,11,0,9,0
VGPT1,Feb 03.json,2,2,0,0,0,0
VGPT1,Feb 04.json,1,1,0,0,0,0
VGPT1,Feb 15.json,1,0,0,1,0,0
VGPT1,Feb 17.json,1,1,0,0,0,0
VGPT1,Jan 25.json,2,1,0,0,1,0
VGPT1,Jan 26.json,1,0,0,0,1,0
VGPT1,Jan 27.json,1,1,0,0,0,0
VGPT1,Jan 28.json,1,1,0,0,0,0
VGPT1,Jan 29.json,103,84,7,0,12,0
VGPT1,Jan 30.json,140,109,11,0,20,0
VGPT1,Jan 31.json,99,78,12,0,9,0
VGPT1,selected_conversations.json,491,374,52,1,64,0
POS1,Feb 04.json,11,0,0,9,2,0
POS1,Jan 19.json,5,0,0,5,0,0
POS1,Jan 23.json,3,0,0,3,0,0
POS1,Jan 24.json,9,0,0,8,1,0
POS1,Jan 25.json,7,0,0,7,0,0
POS1,Jan 26.json,1,0,0,1,0,0
POS1,Jan 27.json,7,0,0,7,0,0
POS1,Jan 28.json,2,0,0,2,0,0
POS1,Jan 29.json,3,0,0,3,0,0
POS1,Jan 30.json,3,0,0,3,0,0
POS1,Jan 31.json,2,0,0,2,0,0
POS1,selected_conversations.json,53,0,0,50,3,0
PGPT2,Feb 01.json,135,111,5,1,18,0
PGPT2,Feb 02.json,173,156,8,1,8,0
PGPT2,Feb 03.json,111,99,6,0,6,0
PGPT2,Feb 04.json,184,169,5,0,10,0
PGPT2,Feb 05.json,104,87,2,0,15,0
PGPT2,Feb 06.json,230,217,3,0,10,0
PGPT2,Feb 07.json,115,105,4,3,3,0
PGPT2,Jan 31.json,28,20,2,0,6,0
PGPT2,selected_conversations.json,1080,964,35,5,76,0
VOGPT2,Feb 07.json,1,1,0,0,0,0
VOGPT2,Feb 08.json,12,11,1,0,0,0
VOGPT2,Feb 09.json,1,1,0,0,0,0
VOGPT2,Feb 12.json,5,5,0,0,0,0
VOGPT2,Feb 13.json,2,1,0,0,1,0
VOGPT2,Feb 15.json,1,0,0,1,0,0
VOGPT2,Feb 16.json,1,0,0,1,0,0
VOGPT2,Feb 18.json,3,3,0,0,0,0
VOGPT2,Feb 19.json,16,9,3,0,4,0
VOGPT2,Feb 25.json,7,6,0,0,1,0
VOGPT2,Feb 26.json,1,1,0,0,0,0
VOGPT2,Feb 28.json,24,18,1,1,4,0
VOGPT2,Feb 29.json,3,3,0,0,0,0
VOGPT2,selected_conversations.json,77,59,5,3,10,0
VGPT2,Feb 01.json,44,35,3,0,6,0
VGPT2,Feb 02.json,61,42,7,0,12,0
VGPT2,Feb 03.json,2,1,1,0,0,0
VGPT2,Feb 04.json,106,79,6,0,21,0
VGPT2,Feb 05.json,30,22,5,0,3,0
VGPT2,Feb 06.json,5,2,2,0,1,0
VGPT2,Feb 07.json,5,0,2,0,3,0
VGPT2,Feb 08.json,8,6,2,0,0,0
VGPT2,Feb 09.json,1,1,0,0,0,0
VGPT2,Feb 11.json,1,1,0,0,0,0
VGPT2,Feb 12.json,2,1,1,0,0,0
VGPT2,Feb 13.json,3,2,0,0,1,0
VGPT2,Feb 17.json,2,1,1,0,0,0
VGPT2,Feb 18.json,98,82,1,0,15,0
VGPT2,Feb 19.json,35,1,0,27,7,0
VGPT2,Feb 25.json,5,0,0,5,0,0
VGPT2,selected_conversations.json,408,276,31,32,69,0
Human,Feb 01.json,17,3,1,6,2,5
