Value,Count
10.9.9,9
100.0.4896.127,1
101.0.0.0,1
102.0.0.0,21
103.0.0.0,41
104.0.0.0,17
105.0.0.0,8
105.0.5195.136,1
106.0.0.0,76
107.0.0.0,3
108.0.0.0,13
108.0.5359.128,4
109.0.0.0,54
110.0.0.0,4
111.0.0.0,35
111.0.5563.116,1
112.0.0.0,24
112.0.5615.135,3
113.0.0.0,27
113.0.5672.121,1
114.0.0.0,54
114.0.5735.196,4
115.0.0.0,110
115.0.5790.160,1
116.0,1
116.0.0.0,254
116.0.1938.76,2
116.0.5845.146,3
116.0.5845.177,2
116.0.5845.187,1
117.0,4
117.0.0.0,3486
117.0.2045.36,1
117.0.2045.38,2
117.0.2045.43,3
117.0.2045.47,124
117.0.2045.60,4
117.0.5938.108,3
117.0.5938.117,34
118.0,9
118.0.0.0,38
119.0,1
119.0.0.0,53
12.1.2,9
12.10.5,1
12.4.3,15
120.0.0.0,716
120.0.6099.101,5
120.0.6099.119,8
120.0.6099.210,1
120.0.6099.230,6
120.0.6099.231,9
120.0.6099.279,2
120.0.6099.43,1
121.0,4
121.0.0.0,1367
121.0.6167.138,26
121.0.6167.178,3
122.0,2
122.0.0.0,26
123.0,2
13.1,2
13.13.1,1
13.14.0,1
13.14.2,10
13.16.1,4
13.22.5,1
13.25.2,2
13.25.2.2,2
13.28.0,3
13.30.1,5
13.32.0,16
13.35.0,3
13.37.1,16
13.38.0,2
13.4.2.1307,1
13.6.2,22
14.0.0.365,3
14.1,1
14.1.1,4
14.1.2,1
14.2.0,3
15.5,2
15.6.1,1
15.6.6,260
16.0,3
16.1,36
16.2,5
16.3,24
16.5.1,2
16.6,96
17.0,46
17.0.1,25
17.1,2
17.1.1,4
17.1.2,2
17.2,110
17.2.1,13
17.3,12
17.3.1,2
17.8.70926,3
18.0,5
19.0,4
20.0,2
21.0,11
22.0,117
222.0.0.15.124,2
23.0,83
24.0,1
278.0.0.22.117,1
278.0.557984068,2
282.0.0.22.119,1
282.0.564912098,1
283.0.567502095,13
284.0.569260749,5
285.0.570543384,5
294.0.588955078,1
297.0.0.33.109,1
299.0.597926513,1
300.0.598994205,10
301.0.601872660,8
302.0.0.19.117,23
302.1.0.36.111,24
303.0.0.40.109,2
303.0.605094169,1
307.2.0.54.116,2
315.0.0.29.109,11
315.1.2.21.112,2
316.0.0.24.109,1
316.1.8.22.112,2
317.0.4.27.109,1
328.2.0.18.118,1
349.0.0.7.108,1
352.0.0.9.116,1
369.0.0.5.110,4
370.0.0.16.116,1
371.0.0.10.104,4
372.0.0.15.104,2
374.0.0.10.114,32
375.0.0.7.111,15
376.0.0.7.103,1
380.0.0.14.112,1
382.0.0.20.105,1
388.0.0.13.119,2
389.0.0.10.118,2
390.0.0.8.116,6
390.2.0.29.103,3
391.0.0.11.115,24
392.0.0.13.114,17
394.0.0.11.107,4
396.0.0.14.82,3
401.0.0.14.97,2
402.0.0.11.101,1
403.1.0.17.106,2
407.0.0.11.104,2
408.1.0.29.107,2
411.0.0.38.58,1
414.0.0.25.57,2
415.0.0.14.47,4
415.0.0.22.46,1
416.0.0.18.73,3
420.0.0.15.50,1
420.0.0.29.53,5
421.0.0.12.61,3
422.0.0.18.107,5
422.0.0.19.104,1
423.0.0.25.113,4
424.0.0.25.113,19
424.0.0.27.114,3
425.0.0.29.109,25
425.1.0.38.107,1
426.0.0.25.105,6
426.0.0.27.102,13
426.0.0.28.102,10
427.0.0.30.110,73
427.1.0.56.106,4
427.2.0.62.106,155
428.0.0.17.115,1
428.0.0.35.115,1055
428.0.0.41.117,6
429.0.0.21.111,1
429.0.0.37.111,181
430.0.0.16.101,2
430.0.0.38.101,1
430.1.0.46.101,1
432.0.0.39.118,1
433.0.0.31.111,1
434.0.0.36.115,5
435.0.0.32.108,2
435.0.0.42.112,1
436.0.0.45.111,2
437.0.0.26.230,4
437.0.1.29.232,2
438.1.0.31.114,1
439.0.0.28.117,1
439.0.0.29.119,5
440.0.0.28.352,5
440.0.0.30.352,8
441.0.0.13.112,10
441.0.0.23.113,87
442.0.0.25.115,253
442.0.0.27.114,1
442.1.0.33.114,25
443.0.0.28.117,11
443.0.0.43.117,96
444.0.0.26.109,1
444.1.0.49.109,12
445.0.0.41.109,11
446.0.0.44.109,6
449.0.0.44.115,1
5,2
604.1,94
61.2.3076.56749,1
7,1
7.2,3
7.4,10
70.0.3538.80,18
72.0.2254.67831,3
72.0.3626.121,2
73.0.2254.68337,3
73.0.2254.68338,3
74.0.3729.136,2
77.0.2254.69831,4
77.0.3865.92,4
77.2.4095.74632,2
77.4.4095.74896,24
78.0.3904.96,17
79.0.3945.116,1
80.0.3987.99,7
80.2.4244.77484,2
81.0.4044.138,8
83.0.4103.106,6
84.0.4147.125,2
86.0.4240.110,3
86.0.4240.198,2
87.0.4280.101,17
87.0.4280.141,57
87.0.4280.163,1
88.0.4324.181,2
89.0.4389.105,2
90.0.4430.91,2
91.0.4472.114,6
91.0.4472.120,2
91.0.4472.88,55
92.0.4515.131,2
92.0.4515.159,4
93.0.4577.107,1
93.0.4577.62,1
94.0.4606.81,1
94.0.4606.85,14
95.0.4638.74,6
96.0.4664.104,1
96.0.4664.110,1
96.0.4664.45,3
97.0.4692.87,1
97.0.4692.98,8
98.0.4758.101,7
98.0.4758.87,4
99.0.4844.58,1
99.0.4844.88,1
AppleWebKit/605.1.15,3
