Value,Count
21061119AG,1
21061119BI,7
21091116I,1
211033MI,25
22011119TI,14
2201116PI,3
2201116SG,3
2201116SI,2
2201117SG,7
2201117SI,3
2201117TG,37
2201117TI,4
220233L2G,8
220233L2I,3
220333QAG,5
220333QBI,19
22041219G,3
22071219CG,2
22071219CI,7
220733SFG,3
220733SI,2
220743FI,1
2209116AG,1
2210129SG,1
22101316G,3
22111317G,8
22120RN86G,18
22120RN86I,2
23021RAAEG,23
23028RN4DI,2
23028RNCAG,1
2302EPCC4I,4
23053RN02A,4
23076RA4BC,3
23106RN0DA,1
A37fw,2
AC2001,5
AE9010,15
AE9220,1
AE9260,4
AE9310,1
AE9950,4
AF9020,1
AH9110,2
ANE-LX1,2
ATU-L42,1
BE2013,11
CPH1607,1
CPH1725,1
CPH1729,7
CPH1801,2
CPH1803,25
CPH1823,8
CPH1853,3
CPH1859,2
CPH1901,1
CPH1909,9
CPH1923,15
CPH1931,2
CPH1933,9
CPH1969,7
CPH2001,4
CPH2015,8
CPH2061,4
CPH2083,17
CPH2095,2
CPH2099,1
CPH2121,1
CPH2127,92
CPH2137,1
CPH2179,2
CPH2185,4
CPH2219,2
CPH2223,3
CPH2239,6
CPH2269,9
CPH2285,3
CPH2325,7
CPH2333,1
CPH2349,4
CPH2363,1
CPH2365,1
CPH2381,1
CPH2385,3
CPH2387,4
CPH2399,1
CPH2409,5
CPH2421,5
CPH2423,6
CPH2461,3
CPH2467,2
CPH2469,7
CPH2471,8
CPH2477,6
CPH2487,1
CPH2565,2
DE2117,3
DRA-LX2,1
DUB-LX2,5
GIONEE X1,2
GM1900,2
GM1901,1
GM1911,1
HD1900,2
HD1901,1
HRY-LX1T,3
HUAWEI NMO-L31,1
INE-LX1,1
IN_Note1,2
IV2201,3
Infinix X6512,2
Infinix X6515,1
Infinix X6516,2
Infinix X6517,2
Infinix X656,1
Infinix X657B,4
Infinix X663C,1
Infinix X665B,6
Infinix X669C,2
Infinix X680B,1
Infinix X6816,8
Infinix X6816C,6
Infinix X6823C,1
Infinix X688B,6
Infinix X689B,2
JKM-LX2,2
JLN-LX1,1
KB2001,1
LAVA LH9950,1
LDN-L21,4
LDN-LX2,2
LE2101,1
LE2115,1
LE9910,1
LE9920_P,3
LLD-AL20,1
LM-G900N,1
Lenovo K11,2
Lenovo K14 Plus,2
M2003J15SC,35
M2004J19C,23
M2004J19PI,11
M2006C3LG,24
M2006C3LI,21
M2006C3LII,6
M2006C3MG,17
M2006C3MI,19
M2006C3MII,16
M2007J17C,2
M2007J20CI,7
M2010J19CG,2
M2010J19CI,1
M2010J19SG,6
M2010J19SI,14
M2012K11AC,1
M2012K11AG,2
M2101K6G,12
M2101K6I,2
M2101K6P,2
M2101K7AG,8
M2101K7AI,4
