Value,Phase1,Phase2,Total
100.0.4896.127,1.0,,0
101.0.0.0,1.0,,0
102.0.0.0,20.0,1.0,0
103.0.0.0,36.0,5.0,0
104.0.0.0,17.0,,0
105.0.0.0,8.0,,0
106.0.0.0,55.0,21.0,0
107.0.0.0,3.0,,0
108.0.0.0,9.0,4.0,0
108.0.5359.128,4.0,,0
109.0.0.0,22.0,32.0,0
110.0.0.0,4.0,,0
111.0.0.0,29.0,6.0,0
112.0.0.0,21.0,3.0,0
112.0.5615.135,3.0,,0
113.0.0.0,27.0,,0
113.0.5672.121,1.0,,0
114.0.0.0,53.0,1.0,0
115.0.0.0,101.0,9.0,0
115.0.5790.160,1.0,,0
116.0,1.0,,0
116.0.0.0,249.0,5.0,0
116.0.1938.76,2.0,,0
116.0.5845.146,3.0,,0
116.0.5845.177,2.0,,0
116.0.5845.187,1.0,,0
117.0,4.0,,0
117.0.0.0,3473.0,13.0,0
117.0.2045.36,1.0,,0
117.0.2045.38,2.0,,0
117.0.2045.43,3.0,,0
117.0.2045.47,124.0,,0
117.0.2045.60,4.0,,0
117.0.5938.108,3.0,,0
117.0.5938.117,34.0,,0
118.0,9.0,,0
118.0.0.0,28.0,10.0,0
119.0,1.0,,0
119.0.0.0,6.0,47.0,0
12.10.5,1.0,,0
12.4.3,10.0,5.0,0
120.0.0.0,2.0,714.0,0
121.0,1.0,3.0,0
13.1,2.0,,0
13.14.0,1.0,,0
13.14.2,9.0,1.0,0
13.16.1,4.0,,0
13.22.5,1.0,,0
13.25.2,2.0,,0
13.28.0,3.0,,0
13.30.1,5.0,,0
13.32.0,16.0,,0
13.35.0,3.0,,0
13.37.1,16.0,,0
13.38.0,2.0,,0
13.4.2.1307,1.0,,0
13.6.2,16.0,6.0,0
14.0.0.365,3.0,,0
14.1,1.0,,0
15.5,1.0,1.0,0
15.6.6,133.0,127.0,0
16.0,1.0,2.0,0
16.1,30.0,6.0,0
16.2,1.0,4.0,0
16.3,22.0,2.0,0
16.5.1,1.0,1.0,0
16.6,81.0,15.0,0
17.0,44.0,2.0,0
17.0.1,11.0,14.0,0
17.2,1.0,109.0,0
17.2.1,1.0,12.0,0
17.8.70926,3.0,,0
18.0,4.0,1.0,0
19.0,2.0,2.0,0
20.0,2.0,,0
21.0,9.0,2.0,0
22.0,117.0,,0
222.0.0.15.124,2.0,,0
278.0.0.22.117,1.0,,0
278.0.557984068,2.0,,0
282.0.0.22.119,1.0,,0
282.0.564912098,1.0,,0
283.0.567502095,13.0,,0
284.0.569260749,5.0,,0
285.0.570543384,5.0,,0
297.0.0.33.109,1.0,,0
299.0.597926513,1.0,,0
302.0.0.19.117,23.0,,0
302.1.0.36.111,24.0,,0
303.0.0.40.109,2.0,,0
307.2.0.54.116,1.0,1.0,0
349.0.0.7.108,1.0,,0
352.0.0.9.116,1.0,,0
369.0.0.5.110,4.0,,0
370.0.0.16.116,1.0,,0
371.0.0.10.104,4.0,,0
372.0.0.15.104,2.0,,0
374.0.0.10.114,32.0,,0
375.0.0.7.111,15.0,,0
376.0.0.7.103,1.0,,0
380.0.0.14.112,1.0,,0
382.0.0.20.105,1.0,,0
390.2.0.29.103,3.0,,0
396.0.0.14.82,3.0,,0
401.0.0.14.97,2.0,,0
402.0.0.11.101,1.0,,0
407.0.0.11.104,2.0,,0
408.1.0.29.107,2.0,,0
411.0.0.38.58,1.0,,0
415.0.0.14.47,4.0,,0
415.0.0.22.46,1.0,,0
416.0.0.18.73,3.0,,0
420.0.0.29.53,5.0,,0
421.0.0.12.61,3.0,,0
422.0.0.18.107,4.0,1.0,0
422.0.0.19.104,1.0,,0
423.0.0.25.113,3.0,1.0,0
424.0.0.25.113,19.0,,0
424.0.0.27.114,3.0,,0
425.0.0.29.109,25.0,,0
425.1.0.38.107,1.0,,0
426.0.0.25.105,6.0,,0
426.0.0.27.102,13.0,,0
426.0.0.28.102,10.0,,0
427.0.0.30.110,73.0,,0
427.1.0.56.106,4.0,,0
427.2.0.62.106,155.0,,0
428.0.0.17.115,1.0,,0
428.0.0.35.115,1055.0,,0
428.0.0.41.117,6.0,,0
429.0.0.21.111,1.0,,0
429.0.0.37.111,181.0,,0
430.0.0.16.101,2.0,,0
430.0.0.38.101,1.0,,0
430.1.0.46.101,1.0,,0
432.0.0.39.118,1.0,,0
433.0.0.31.111,1.0,,0
434.0.0.36.115,5.0,,0
435.0.0.32.108,1.0,1.0,0
435.0.0.42.112,1.0,,0
437.0.0.26.230,2.0,2.0,0
5,2.0,,0
604.1,2.0,92.0,0
61.2.3076.56749,1.0,,0
7,1.0,,0
7.4,5.0,5.0,0
70.0.3538.80,18.0,,0
72.0.2254.67831,3.0,,0
72.0.3626.121,2.0,,0
73.0.2254.68337,3.0,,0
73.0.2254.68338,3.0,,0
77.0.3865.92,4.0,,0
77.2.4095.74632,2.0,,0
77.4.4095.74896,24.0,,0
78.0.3904.96,1.0,16.0,0
79.0.3945.116,1.0,,0
80.0.3987.99,1.0,6.0,0
81.0.4044.138,8.0,,0
83.0.4103.106,6.0,,0
84.0.4147.125,2.0,,0
86.0.4240.198,2.0,,0
87.0.4280.101,15.0,2.0,0
87.0.4280.141,43.0,14.0,0
88.0.4324.181,2.0,,0
89.0.4389.105,2.0,,0
90.0.4430.91,2.0,,0
91.0.4472.114,6.0,,0
91.0.4472.120,2.0,,0
91.0.4472.88,38.0,17.0,0
92.0.4515.131,2.0,,0
92.0.4515.159,4.0,,0
93.0.4577.62,1.0,,0
94.0.4606.85,14.0,,0
95.0.4638.74,5.0,1.0,0
96.0.4664.104,1.0,,0
96.0.4664.110,1.0,,0
96.0.4664.45,3.0,,0
97.0.4692.87,1.0,,0
97.0.4692.98,8.0,,0
98.0.4758.87,4.0,,0
