Value,Phase1,Phase2,Total
21061119AG,1.0,,0
21061119BI,3.0,4.0,0
21091116I,1.0,,0
211033MI,20.0,5.0,0
22011119TI,9.0,5.0,0
2201116PI,3.0,,0
2201116SG,2.0,1.0,0
2201116SI,2.0,,0
2201117SG,5.0,2.0,0
2201117SI,2.0,1.0,0
2201117TG,24.0,13.0,0
2201117TI,3.0,1.0,0
220233L2G,5.0,3.0,0
220233L2I,2.0,1.0,0
220333QBI,14.0,5.0,0
22041219G,3.0,,0
22071219CG,2.0,,0
22071219CI,4.0,3.0,0
220733SFG,1.0,2.0,0
220733SI,2.0,,0
2209116AG,1.0,,0
2210129SG,1.0,,0
22101316G,3.0,,0
22111317G,5.0,3.0,0
22120RN86G,7.0,11.0,0
23021RAAEG,14.0,9.0,0
2302EPCC4I,4.0,,0
23053RN02A,1.0,3.0,0
A37fw,2.0,,0
AC2001,3.0,2.0,0
AE9010,9.0,6.0,0
AE9220,1.0,,0
AE9260,2.0,2.0,0
AE9950,2.0,2.0,0
AF9020,1.0,,0
AH9110,2.0,,0
ATU-L42,1.0,,0
BE2013,10.0,1.0,0
CPH1607,1.0,,0
CPH1725,1.0,,0
CPH1729,7.0,,0
CPH1801,2.0,,0
CPH1803,24.0,1.0,0
CPH1823,8.0,,0
CPH1853,2.0,1.0,0
CPH1901,1.0,,0
CPH1909,4.0,5.0,0
CPH1923,9.0,6.0,0
CPH1931,2.0,,0
CPH1933,6.0,3.0,0
CPH1969,4.0,3.0,0
CPH2001,3.0,1.0,0
CPH2015,4.0,4.0,0
CPH2061,3.0,1.0,0
CPH2083,13.0,4.0,0
CPH2095,2.0,,0
CPH2121,1.0,,0
CPH2127,92.0,,0
CPH2179,1.0,1.0,0
CPH2185,2.0,2.0,0
CPH2223,3.0,,0
CPH2239,3.0,3.0,0
CPH2269,6.0,3.0,0
CPH2285,1.0,2.0,0
CPH2325,7.0,,0
CPH2333,1.0,,0
CPH2349,2.0,2.0,0
CPH2363,1.0,,0
CPH2365,1.0,,0
CPH2385,3.0,,0
CPH2387,3.0,1.0,0
CPH2409,5.0,,0
CPH2421,5.0,,0
CPH2423,3.0,3.0,0
CPH2461,3.0,,0
CPH2469,6.0,1.0,0
CPH2471,8.0,,0
CPH2477,5.0,1.0,0
DE2117,3.0,,0
DRA-LX2,1.0,,0
DUB-LX2,4.0,1.0,0
GM1900,2.0,,0
GM1901,1.0,,0
GM1911,1.0,,0
HD1900,2.0,,0
HD1901,1.0,,0
HRY-LX1T,3.0,,0
HUAWEI NMO-L31,1.0,,0
INE-LX1,1.0,,0
IN_Note1,2.0,,0
IV2201,2.0,1.0,0
Infinix X6512,1.0,1.0,0
Infinix X6515,1.0,,0
Infinix X6516,2.0,,0
Infinix X6517,1.0,1.0,0
Infinix X656,1.0,,0
Infinix X657B,2.0,2.0,0
Infinix X663C,1.0,,0
Infinix X680B,1.0,,0
Infinix X6816,7.0,1.0,0
Infinix X6816C,6.0,,0
Infinix X6823C,1.0,,0
Infinix X688B,4.0,2.0,0
Infinix X689B,2.0,,0
JKM-LX2,2.0,,0
KB2001,1.0,,0
LDN-L21,4.0,,0
LDN-LX2,2.0,,0
LE2101,1.0,,0
LE2115,1.0,,0
LE9910,1.0,,0
LLD-AL20,1.0,,0
Lenovo K14 Plus,2.0,,0
M2003J15SC,29.0,6.0,0
M2004J19C,17.0,6.0,0
M2004J19PI,6.0,5.0,0
M2006C3LG,20.0,4.0,0
M2006C3LI,18.0,3.0,0
M2006C3LII,3.0,3.0,0
M2006C3MG,8.0,9.0,0
M2006C3MI,18.0,1.0,0
M2006C3MII,14.0,2.0,0
M2007J17C,2.0,,0
M2007J20CI,7.0,,0
M2010J19CG,2.0,,0
M2010J19SG,6.0,,0
M2010J19SI,11.0,3.0,0
M2012K11AC,1.0,,0
M2012K11AG,2.0,,0
M2101K6G,10.0,2.0,0
M2101K6I,2.0,,0
M2101K6P,1.0,1.0,0
M2101K7AG,7.0,1.0,0
M2101K7AI,3.0,1.0,0
M2101K7BG,19.0,3.0,0
M2101K7BI,8.0,3.0,0
M2102J20SG,8.0,1.0,0
M2102J20SI,9.0,1.0,0
M2103K19PI,4.0,,0
MAR-LX1A,1.0,,0
MI PLAY,2.0,,0
MRD-LX2,1.0,,0
Mi A2,1.0,,0
Mi A2 Lite,7.0,,0
Mi A3,2.0,,0
Mi Note 10 Lite,2.0,,0
Mito A67,2.0,,0
Nexus 5,35.0,,0
Nokia C2,1.0,,0
Nokia C20,1.0,,0
ONEPLUS A6010,4.0,1.0,0
PAR-LX1M,1.0,,0
POCOPHONE F1,1.0,,0
RKY-LX2,23.0,1.0,0
RMX1809,1.0,,0
RMX1827,2.0,,0
RMX1911,1.0,1.0,0
RMX1941,2.0,,0
RMX2020,3.0,2.0,0
RMX2030,7.0,,0
RMX2050,2.0,,0
RMX2151,75.0,1.0,0
RMX2170,2.0,1.0,0
RMX2185,1.0,,0
RMX2189,6.0,1.0,0
RMX2193,4.0,,0
RMX2195,2.0,2.0,0
RMX3063,2.0,,0
RMX3085,5.0,2.0,0
RMX3151,2.0,1.0,0
RMX3197,2.0,,0
RMX3231,15.0,17.0,0
RMX3241,1.0,1.0,0
RMX3261,3.0,1.0,0
RMX3263,9.0,,0
RMX3268,2.0,,0
RMX3269,2.0,,0
RMX3286,2.0,5.0,0
RMX3360,1.0,,0
RMX3392,2.0,,0
RMX3430,9.0,2.0,0
RMX3491,14.0,,0
